ID,Organizations,Organization,Source_Type,P1,P2,Total_Annual,Flow,Disbursement_Type,Parish,Receiving_Type,Parish Source_Type,fips
150,DHH TH/SCI Trust Fund - Criminal Court Costs/Fees ,Traumatic Head and Spinal Chord Injury Trust Fund,Criminal Court Costs/Fees,4263,5983,10246,less,Disbursements to governments & nonprofits,ascension,Traumatic Head and Spinal Chord Injury Trust Fund,ascension Criminal Court Costs/Fees,22005
151,LA Commission Law Enforcement - Criminal Court Costs/Fees ,Louisiana Commission on Law Enforcement,Criminal Court Costs/Fees,26593,20690,47283,less,Disbursements to governments & nonprofits,ascension,Louisiana Commission on Law Enforcement,ascension Criminal Court Costs/Fees,22005
152,LA Department of Corrections - Criminal Court Costs/Fees ,Louisiana Department of Corrections,Criminal Court Costs/Fees,0,0,0,less,Disbursements to governments & nonprofits,ascension,Misc. State Departments and Offices,ascension Criminal Court Costs/Fees,22005
153,LA Department of Public Safety - Criminal Court Costs/Fees ,Louisiana Department of Public Safety,Criminal Court Costs/Fees,6883,10325,17208,less,Disbursements to governments & nonprofits,ascension,Public Safety (Parish and/or State),ascension Criminal Court Costs/Fees,22005
154,LA State Treasurer Handicap Parking - Criminal Court Costs/Fees ,Louisiana State Treasurer Handicap Parking,Criminal Court Costs/Fees,667,208,875,less,Disbursements to governments & nonprofits,ascension,Louisiana State Treasury,ascension Criminal Court Costs/Fees,22005
155,Louisiana State Police - Criminal Court Costs/Fees ,Louisiana State Police,Criminal Court Costs/Fees,25,375,400,less,Disbursements to governments & nonprofits,ascension,Louisiana State Police/State Services,ascension Criminal Court Costs/Fees,22005
156,Louisiana Supreme Court - Criminal Court Costs/Fees ,Louisiana Supreme Court,Criminal Court Costs/Fees,1376,1669,3045,less,Disbursements to governments & nonprofits,ascension,Louisiana Supreme Court,ascension Criminal Court Costs/Fees,22005
157,Parish of Ascension Judicial Expense Fund - Criminal Court Costs/Fees ,Ascension Parish Judicial Expense Fund,Criminal Court Costs/Fees,41280,50560,91840,less,Disbursements to governments & nonprofits,ascension,Judicial Expense Funds,ascension Criminal Court Costs/Fees,22005
158,"Ricky Babin, DA - Criminal Court Costs/Fees ",23rd Judicial District Court District Attorney,Criminal Court Costs/Fees,71713,75774,147487,less,Disbursements to governments & nonprofits,ascension,District Courts,ascension Criminal Court Costs/Fees,22005
159,Sheriff's General Fund - Criminal Court Costs/Fees ,Ascension Parish Sheriff's General Fund,Criminal Court Costs/Fees,32743,39046,71789,less,Disbursements to governments & nonprofits,ascension,Parish Sheriff,ascension Criminal Court Costs/Fees,22005
160,Sheriff's General Fund - Litter Abatement Program - Criminal Court Costs/Fees ,Ascension Parish Sheriff's General Fund - Litter Abatement Program,Criminal Court Costs/Fees,150,195,345,less,Disbursements to governments & nonprofits,ascension,Parish Sheriff,ascension Criminal Court Costs/Fees,22005
161,Sheriff's General Fund - Littering Cost - Criminal Court Costs/Fees ,Ascension Parish Sheriff's General Fund - Littering Cost,Criminal Court Costs/Fees,50,0,50,less,Disbursements to governments & nonprofits,ascension,Parish Sheriff,ascension Criminal Court Costs/Fees,22005
162,Sheriff's General Fund - Retirement - Criminal Court Costs/Fees ,Ascension Parish Sheriff's General Fund - Retirement,Criminal Court Costs/Fees,500,0,500,less,Disbursements to governments & nonprofits,ascension,Parish Sheriff,ascension Criminal Court Costs/Fees,22005
163,State Treasury Keep LA Beautiful Fund - Criminal Court Costs/Fees ,State Treasury Keep LA Beautiful Fund,Criminal Court Costs/Fees,75,0,75,less,Disbursements to governments & nonprofits,ascension,Louisiana State Treasury,ascension Criminal Court Costs/Fees,22005
164,State Treasury - Help Louisiana Wildlife - Criminal Court Costs/Fees ,State Treasury Help Louisiana Wildlife,Criminal Court Costs/Fees,25,20,45,less,Disbursements to governments & nonprofits,ascension,Louisiana State Treasury,ascension Criminal Court Costs/Fees,22005
165,Town of Sorrento - Criminal Court Costs/Fees ,Town of Sorrento,Criminal Court Costs/Fees,225,209,434,less,Disbursements to governments & nonprofits,ascension,City/Town Police and Government,ascension Criminal Court Costs/Fees,22005
166,"Treasure, State of Louisiana CMIS - Criminal Court Costs/Fees ",State of Louisiana Treasury - CMIS,Criminal Court Costs/Fees,8644,10105,18749,less,Disbursements to governments & nonprofits,ascension,Louisiana State Treasury,ascension Criminal Court Costs/Fees,22005
167,Ascension Parish Goverment - Criminal Fines ,Ascension Parish Government,Criminal Fines,188738,187385,376123,less,Disbursements to governments & nonprofits,ascension,Parish Government,ascension Criminal Fines,22005
168,City of Donaldsonville - Criminal Fines ,City of Donalsdsonville,Criminal Fines,19974,26602,46576,less,Disbursements to governments & nonprofits,ascension,City/Town Police and Government,ascension Criminal Fines,22005
169,"Ricky Babin, DA - Criminal Fines ",23rd Judicial District Court District Attorney,Criminal Fines,32726,33348,66074,less,Disbursements to governments & nonprofits,ascension,District Courts,ascension Criminal Fines,22005
170,"Ricky Babin, DA - Littering - Criminal Fines ",23rd Judicial District Court District Attorney,Criminal Fines - Littering,110,65,175,less,Disbursements to governments & nonprofits,ascension,District Courts,ascension Criminal Fines - Littering,22005
171,Sheriff's General Fund - Criminal Fines ,Ascension Parish Sheriff's General Fund,Criminal Fines,29801,29587,59388,less,Disbursements to governments & nonprofits,ascension,Parish Sheriff,ascension Criminal Fines,22005
172,Sheriff's General Fund - Littering - Criminal Fines ,Ascension Parish Sheriff's General Fund - Littering Cost,Criminal Fines,250,0,250,less,Disbursements to governments & nonprofits,ascension,Parish Sheriff,ascension Criminal Fines,22005
173,Town of Sorrento - Criminal Fines ,Town of Sorrento,Criminal Fines,1476,976,2452,less,Disbursements to governments & nonprofits,ascension,City/Town Police and Government,ascension Criminal Fines,22005
174,Wildlife and Fisheries - Criminal Fines ,Louisiana Department of Wildlife and Fisheries,Criminal Fines,8,8,16,less,Disbursements to governments & nonprofits,ascension,Louisiana Department of Wildlife and Fisheries,ascension Criminal Fines,22005
175,Wildlife and Fisheries - Littering - Criminal Fines ,Louisiana Department of Wildlife and Fisheries,Criminal Fines - Littering,0,600,600,less,Disbursements to governments & nonprofits,ascension,Louisiana Department of Wildlife and Fisheries,ascension Criminal Fines - Littering,22005
176,State Treasury - Littering - Criminal Fines ,State Treasury,Criminal Fines - Littering,65,65,130,less,Disbursements to governments & nonprofits,ascension,Louisiana State Treasury,ascension Criminal Fines - Littering,22005
177,Self-Disbursed to collecting agency - Criminal court costs and Fees,Self-Disbursed to Collecting Agency,Criminal Court Costs/Fees,233673,308727,542400,less,Amounts retained by collection agency,ascension,Collections/Processing,ascension Criminal Court Costs/Fees,22005
178,Self-Disbursed to collecting agency - Bond Fees,Self-Disbursed to Collecting Agency,Bond Fees,76945,102495,179440,less,Amounts retained by collection agency,ascension,Collections/Processing,ascension Bond Fees,22005
179,Self-Disbursed to collecting agency - Criminal fines - other,Self-Disbursed to Collecting Agency,Criminal Fines - Other,64429,102968,167397,less,Amounts retained by collection agency,ascension,Collections/Processing,ascension Criminal Fines - Other,22005
180,Civil Fee refunds,Individuals - Civil Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,ascension,Individuals - Specified,ascension Unspecified,22005
181,Bond Fee refunds,Individuals - Bond Fee Refunds,Unspecified,0,0,0,less,Disbursements to individuals/3rd party collection or processing agencies,ascension,Individuals - Specified,ascension Unspecified,22005
